version,size,processes,tolerance,status,iterations,residual,relative_l2_error,checksum,total_seconds,compute_seconds,halo_issue_seconds,halo_wait_seconds,reduction_seconds
mpi_overlap,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.264091439,0.259116351,0.000261102,0.004336302,0.000841002
mpi_overlap,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.268647068,0.264209920,0.000258722,0.008962336,0.001030165
mpi_overlap,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.264424248,0.259523113,0.000257088,0.004089945,0.000968709
mpi_overlap,1024,2,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116445,399.81249088126765,0.265023507,0.261172265,0.000260998,0.007009011,0.000934845
mpi_blocking,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.237770778,0.230497028,0.000000000,0.004521100,0.004227434
mpi_blocking,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.237333504,0.230986994,0.000000000,0.004579995,0.004027135
mpi_blocking,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.238394710,0.230786366,0.000000000,0.004728759,0.004295649
mpi_blocking,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.239118471,0.231645252,0.000000000,0.004518218,0.006179749
mpi_blocking,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.237090734,0.230711542,0.000000000,0.004430989,0.004658662
mpi_overlap,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.237982001,0.231034453,0.000364125,0.006535092,0.004046428
mpi_overlap,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.236585261,0.229735570,0.000401098,0.005584417,0.003001280
mpi_overlap,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.239637475,0.231310790,0.000422859,0.006649718,0.004371376
mpi_overlap,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.238588053,0.231030146,0.000364445,0.006957194,0.004942427
mpi_overlap,1024,4,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574117122,399.8124908812606,0.237331376,0.230394522,0.000392604,0.007106320,0.003187327
mpi_blocking,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.245417622,0.232394433,0.000000000,0.006115756,0.009660920
mpi_blocking,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.246962582,0.232484177,0.000000000,0.008150466,0.011899567
mpi_blocking,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.247385537,0.232414612,0.000000000,0.006368430,0.011020718
mpi_blocking,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.246686212,0.234107192,0.000000000,0.006202030,0.011570738
mpi_blocking,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.261401944,0.243841652,0.000000000,0.006394955,0.028119350
mpi_overlap,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.260924547,0.241863331,0.000719124,0.029101996,0.025679287
mpi_overlap,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.317627642,0.293309122,0.001603403,0.070275986,0.083563774
mpi_overlap,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.245651001,0.233186629,0.000610159,0.012355192,0.009287538
mpi_overlap,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.248439512,0.232617166,0.000697177,0.014503031,0.012462238
mpi_overlap,1024,8,9.9999999999999995e-07,fixed_iterations,200,19.720720719466559,0.99906103574116245,399.81249088125787,0.244544893,0.231102765,0.000669686,0.009954241,0.007784028
serial,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.863877671,1.863856719,0.000000000,0.000000000,0.000000000
serial,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.861592315,1.861568812,0.000000000,0.000000000,0.000000000
serial,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.854128622,1.854104916,0.000000000,0.000000000,0.000000000
serial,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.859776163,1.859751463,0.000000000,0.000000000,0.000000000
serial,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.852812754,1.852791666,0.000000000,0.000000000,0.000000000
mpi_blocking,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.848685191,1.848288434,0.000000000,0.000092906,0.000220771
mpi_blocking,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.866495393,1.866113549,0.000000000,0.000087633,0.000200290
mpi_blocking,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.861023259,1.860620436,0.000000000,0.000086860,0.000221340
mpi_blocking,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.850305739,1.849886268,0.000000000,0.000100703,0.000229560
mpi_blocking,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.847651920,1.847251515,0.000000000,0.000078806,0.000208205
mpi_overlap,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.867324175,1.866805750,0.000083218,0.000124991,0.000222607
mpi_overlap,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.856538683,1.856077928,0.000081691,0.000104674,0.000182866
mpi_overlap,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.858510317,1.858073026,0.000071781,0.000095959,0.000178273
mpi_overlap,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.859949250,1.859505485,0.000077217,0.000115285,0.000166042
mpi_overlap,2048,1,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741174415,399.95306600051191,1.858557959,1.858121113,0.000075251,0.000122330,0.000156903
mpi_blocking,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.056206592,1.048217315,0.000000000,0.005860071,0.007007433
mpi_blocking,2048,2,9.9999999999999995e-07,fixed_iterations,200,19.734580648989443,0.99976494741164945,399.95306600056546,1.074501094,1.065476722,0.000000000,0.006068653,0.003287621
